family,depth,width,residual,learning_rate,activation,gamma_scale,val_loss,val_accuracy,val_f1,best_epoch,epochs_run,status,seconds
dense,5,26,False,0.003,relu,1.0,0.07507109681120207,0.9642857142857143,0.9665831244778613,102,142,ok,0.14684179200000003
dense,5,26,False,0.01,tanh,1.0,0.04534409347819011,0.9642857142857143,0.9665831244778613,14,54,ok,0.06418920799999928
dense,5,26,False,0.01,relu,1.0,0.10276315667553873,0.9642857142857143,0.9665831244778613,4,44,ok,0.045532707999999644
dense,5,13,True,0.003,tanh,1.0,0.09091241697147621,0.9285714285714286,0.9326599326599326,250,250,ok,0.25326483300000024
dense,5,13,True,0.003,relu,1.0,0.06412623971969769,0.9642857142857143,0.9658994032395567,250,250,ok,0.24002841599999947
dense,5,13,True,0.01,tanh,1.0,0.04212034198208929,0.9642857142857143,0.9665831244778613,250,250,ok,0.263021792
dense,5,13,True,0.01,relu,1.0,0.030054031320306072,1.0,1.0,250,250,ok,0.24948529200000014
dense,5,26,True,0.003,tanh,1.0,0.0106658741710645,1.0,1.0,250,250,ok,0.3154401250000003
dense,5,26,True,0.003,relu,1.0,0.24163041600579852,0.8571428571428571,0.8611111111111112,22,62,ok,0.07025274999999986
dense,5,26,True,0.01,tanh,1.0,0.02119457989739727,1.0,1.0,250,250,ok,0.3104373329999994
dense,5,26,True,0.01,relu,1.0,0.10562255786553267,0.9642857142857143,0.9665831244778613,31,71,ok,0.08143449999999941
dense,7,13,False,0.003,tanh,1.0,0.2524314998825507,0.9285714285714286,0.9326599326599326,135,175,ok,0.23252316700000009
dense,7,13,False,0.003,relu,1.0,0.40082504855377443,0.9285714285714286,0.9326599326599326,54,94,ok,0.11527570800000042
dense,7,13,False,0.01,tanh,1.0,0.21158371847298563,0.9285714285714286,0.9326599326599326,144,184,ok,0.2427532499999998
dense,7,13,False,0.01,relu,1.0,0.19539179811522692,0.9642857142857143,0.9658994032395567,12,52,ok,0.0636268340000008
dense,7,26,False,0.003,tanh,1.0,0.03727034967909999,1.0,1.0,250,250,ok,0.3961758340000001
dense,7,26,False,0.003,relu,1.0,0.11927880497341113,0.9285714285714286,0.9299308878256246,102,142,ok,0.19552075000000002
dense,7,26,False,0.01,tanh,1.0,0.009830039061040383,1.0,1.0,18,58,ok,0.09144458300000036
dense,7,26,False,0.01,relu,1.0,0.0021294166948806923,1.0,1.0,13,53,ok,0.0731072079999997
dense,7,13,True,0.003,tanh,1.0,0.12950266705461194,0.9642857142857143,0.9658994032395567,249,250,ok,0.3397239169999997
dense,7,13,True,0.003,relu,1.0,0.08171704575664573,0.9642857142857143,0.9658994032395567,112,152,ok,0.19863675000000036
